date,days_ahead,airport_icao,airport_iata,airport_name,city,temp_min,temp_max,wind_avg,wind_max,gust_max,precip_total,cloud_avg,flight_ok_count,flight_total_count,flight_ok_ratio,daily_risk,updated_at
2026-03-23,0,ZGGG,CAN,廣州白雲國際機場,廣州,21.0,30.7,7.3,11.2,16.2,0.0,53.0,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-23,0,ZSFZ,FOC,福州長樂國際機場,福州,13.9,18.3,9.2,12.2,14.7,0.0,80.2,7,8,87.5,HIGH,2026-03-23 03:26:52
2026-03-23,0,ZSPD,PVG,上海浦東國際機場,上海,8.7,13.0,6.4,9.3,18.2,0.0,88.8,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-24,1,ZGGG,CAN,廣州白雲國際機場,廣州,20.2,31.1,7.5,10.2,17.0,0.0,61.6,7,8,87.5,HIGH,2026-03-23 03:26:53
2026-03-24,1,ZSFZ,FOC,福州長樂國際機場,福州,13.7,15.4,8.2,12.8,20.0,0.0,77.7,5,8,62.5,HIGH,2026-03-23 03:26:52
2026-03-24,1,ZSPD,PVG,上海浦東國際機場,上海,9.9,14.2,6.7,10.4,12.4,0.0,75.2,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-25,2,ZGGG,CAN,廣州白雲國際機場,廣州,20.5,27.7,8.5,13.2,14.5,0.0,42.0,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-25,2,ZSFZ,FOC,福州長樂國際機場,福州,13.7,19.0,6.4,9.6,12.5,0.0,60.6,5,8,62.5,HIGH,2026-03-23 03:26:52
2026-03-25,2,ZSPD,PVG,上海浦東國際機場,上海,10.1,14.7,5.5,8.2,17.2,0.0,59.6,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-26,3,ZGGG,CAN,廣州白雲國際機場,廣州,20.2,31.8,7.1,8.6,14.7,0.0,42.4,7,8,87.5,HIGH,2026-03-23 03:26:53
2026-03-26,3,ZSFZ,FOC,福州長樂國際機場,福州,13.3,20.2,8.7,11.6,14.4,0.0,92.9,5,8,62.5,HIGH,2026-03-23 03:26:52
2026-03-26,3,ZSPD,PVG,上海浦東國際機場,上海,9.1,12.8,6.5,8.4,12.7,0.0,96.3,7,8,87.5,HIGH,2026-03-23 03:26:53
2026-03-27,4,ZGGG,CAN,廣州白雲國際機場,廣州,20.6,28.7,7.1,11.5,14.1,0.01,68.8,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-27,4,ZSFZ,FOC,福州長樂國際機場,福州,13.6,15.4,9.5,12.1,17.6,0.0,98.9,5,8,62.5,HIGH,2026-03-23 03:26:52
2026-03-27,4,ZSPD,PVG,上海浦東國際機場,上海,8.5,13.3,6.9,8.7,18.3,0.0,81.2,6,8,75.0,HIGH,2026-03-23 03:26:53
2026-03-28,5,ZGGG,CAN,廣州白雲國際機場,廣州,22.5,27.9,6.9,12.3,17.5,0.0,47.6,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-28,5,ZSFZ,FOC,福州長樂國際機場,福州,13.8,16.4,9.5,14.1,17.3,0.0,66.7,8,8,100.0,LOW,2026-03-23 03:26:52
2026-03-28,5,ZSPD,PVG,上海浦東國際機場,上海,10.0,13.8,7.0,11.8,19.3,0.0,99.7,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-29,6,ZGGG,CAN,廣州白雲國際機場,廣州,20.3,27.4,8.1,13.2,17.6,0.0,18.2,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-29,6,ZSFZ,FOC,福州長樂國際機場,福州,13.8,18.7,8.3,10.6,17.9,0.0,71.7,8,8,100.0,LOW,2026-03-23 03:26:52
2026-03-29,6,ZSPD,PVG,上海浦東國際機場,上海,9.8,14.6,6.5,8.9,12.9,0.0,98.5,7,8,87.5,HIGH,2026-03-23 03:26:53
2026-03-30,7,ZGGG,CAN,廣州白雲國際機場,廣州,21.7,28.6,6.6,12.4,14.2,0.0,68.3,8,8,100.0,LOW,2026-03-23 03:26:53
2026-03-30,7,ZSFZ,FOC,福州長樂國際機場,福州,13.5,16.8,7.4,11.4,20.1,0.01,95.2,6,8,75.0,HIGH,2026-03-23 03:26:52
2026-03-30,7,ZSPD,PVG,上海浦東國際機場,上海,10.4,13.4,6.4,10.3,9.1,0.0,93.3,7,8,87.5,HIGH,2026-03-23 03:26:53
