Date,Year,Ships,Country,Sorties_D0,Sorties_Total_5d,Sorties_Prev_5d,Increase,Unnamed: 8,Ship_Type,Hull_Number,Mission_Note,Date_Precision,Date_Note,Source,Country_Confidence,
2020/1/16,2020,美軍提康德羅加巡洋艦「希羅」號（USS Shiloh CG-67）航經台灣海峽,Multi (US+Germany),0.0,1.0,0.0,1.0,,巡洋艦,CG-67,,exact,,,high,
2020/2/15,2020,美海軍提康德羅加級巡洋艦「錢瑟勒斯維爾」號（USS Chancellorsville CG-62）由北向南航經台灣海峽，執行一般航行任務,Multi (US+Germany),0.0,0.0,2.0,-2.0,,巡洋艦,CG-62,,exact,,,high,
2020/3/25,2020,美軍伯克級驅逐艦「麥坎貝爾」號（USS McCampbell DDG-85）由南向北航經台灣海峽執行一般航行任務,US,0.0,0.0,0.0,0.0,,驅逐艦,DDG-85,,exact,,,high,
2020/4/10,2020,美軍伯克級驅逐艦「貝瑞」號（USS Barry DDG-52）通過台灣海峽執行一般航行任務,US,3.0,3.0,0.0,3.0,,驅逐艦,DDG-52,,exact,,,high,
2020/4/23,2020,美軍伯克級驅逐艦「貝瑞」號（USS Barry DDG-52）航經台灣海峽執行一般航行任務,US,0.0,0.0,0.0,0.0,,驅逐艦,DDG-52,,exact,,,high,
2020/5/13,2020,伯克級驅逐艦「麥坎貝爾」號（USS McCampbell DDG-85）由北向南通過台灣海峽,US,0.0,4.0,5.0,-1.0,,驅逐艦,DDG-85,,exact,,,high,
2020/6/4,2020,美軍伯克級驅逐艦拉塞爾號（USS Russell DDG-59）通過台灣海峽,US,0.0,1.0,0.0,1.0,,驅逐艦,DDG-59,,exact,,,high,
2020/8/18,2020,美軍伯克級驅逐艦「馬斯廷」號（USS Mustin DDG-89）通過台灣海峽，沿接近中國大陸海岸線的海峽中線以西航行,US,0.0,1.0,0.0,1.0,,驅逐艦,DDG-89,,exact,,,high,
2020/8/31,2020,美軍伯克級驅逐艦「海爾賽」號（USS Halsey DDG-97）由北向南航經台灣海峽,US,0.0,0.0,1.0,-1.0,,驅逐艦,DDG-97,,exact,,,high,
2020/10/15,2020,美軍伯克級飛彈驅逐艦「貝瑞」號（USS Barry DDG-52）通過台灣海峽,US,1.0,6.0,2.0,4.0,,飛彈驅逐艦,DDG-52,,exact,,,high,
