publish_date,title,channel,time_periods,coordinate_count,coordinates,coordinates_raw,content_preview,url,scraped_at,start_date,end_date
2026-03-15,军事训练—桂航警51/26,广西海事局,03/16-03/17 每日 1000-1800,4,"21.3833,108.79; 21.3833,108.9667; 21.2067,108.9667; 21.2067,108.79",21-23.00N 108-47.40E; 21-23.00N 108-58.00E; 21-12.40N 108-58.00E; 21-12.40N 108-47.40E,桂航警51/26 发布时间：2026-03-15 13:35 [字体： 大 中 小 ] 分享到： 桂航警51/26，北部湾，3月16日至17日每天1000时至1800时，在21-23.00N 108-47.40E；21-23.00N 108-58.00E；21-12.40N 108-58.00E；21-12.40N 108-47.40E连线海域范围内进行军事训练，禁止船舶驶入。,https://www.msa.gov.cn/page/article.do?articleId=935a9173-17d9-441f-b69d-3b5bd7896713&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:09.628760,2026-03-16,2026-03-17
2026-03-15,MILITARY TRAINING—GX20/26,广西海事局,03/16-03/17 每日 0200-1000,4,"21.3833,108.79; 21.3833,108.9667; 21.2067,108.9667; 21.2067,108.79",21-23.00N 108-47.40E; 21-23.00N 108-58.00E; 21-12.40N 108-58.00E; 21-12.40N 108-47.40E,GX20/26 BEIBU BAY，MILITARY TRAINING IN AREA BOUNDED BY THE LINES JOINING 21-23.00N 108-47.40E；21-23.00N 108-58.00E；21-12.40N 108-58.00E；21-12.40N 108-47.40E 0200 UTC TO 1000 UTC DAILY FROM 16 TO 17 MAR. ENTERING PROHIBITED．GUANGXI MSA CHINA.,https://www.msa.gov.cn/page/article.do?articleId=d836fc484471b449&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:11.774809,2026-03-16,2026-03-17
2026-03-17,禁航区—桂航警52/26,广西海事局,03/18 0800 至 03/25 2400,4,"21.1483,109.2873; 21.1465,109.2878; 21.1452,109.2812; 21.1468,109.2808",21-08.90N 109-17.24E; 21-08.79N 109-17.27E; 21-08.71N 109-16.87E; 21-08.81N 109-16.85E,桂航警52/26 发布时间：2026-03-17 16:44 [字体： 大 中 小 ] 分享到： 桂航警52/26，北部湾，3月18日0800时至25日2400时，在以下四点连线水域设置临时禁航区：21-08.90N 109-17.24E、21-08.79N 109-17.27E、21-08.71N 109-16.87E、21-08.81N 109-16.85E，禁止船舶驶入。,https://www.msa.gov.cn/page/article.do?articleId=a46a9efb-1c84-4b40-9f6a-889d65740bfc&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:07.403519,2026-03-18,2026-03-25
2026-03-25,禁航区—桂航警54/26,广西海事局,03/27 0800 至 03/29 2400,4,"21.1483,109.2873; 21.1465,109.2878; 21.1452,109.2812; 21.1468,109.2808",21-08.90N 109-17.24E; 21-08.79N 109-17.27E; 21-08.71N 109-16.87E; 21-08.81N 109-16.85E,桂航警54/26 发布时间：2026-03-25 17:07 [字体： 大 中 小 ] 分享到： 桂航警54/26，北部湾，3月27日0800时至29日2400时，在以下四点连线水域设置临时禁航区：21-08.90N 109-17.24E、21-08.79N 109-17.27E、21-08.71N 109-16.87E、21-08.81N 109-16.85E，禁止船舶驶入。,https://www.msa.gov.cn/page/article.do?articleId=e08688b8-d725-491d-b11d-508e929f5add&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:05.144757,2026-03-27,2026-03-29
2026-03-27,MILITARY TRAINING—GX24/26,广西海事局,03/28 0700 至 03/30 1000,6,"21.3755,109.4587; 21.3053,109.6647; 21.2312,109.6345; 21.1858,109.5572; 21.217,109.4587; 21.3012,109.4297",21-22.53N 109-27.52E; 21-18.32N 109-39.88E; 21-13.87N 109-38.07E; 21-11.15N 109-33.43E; 21-13.02N 109-27.52E; 21-18.07N 109-25.78E,GX24/26 BEIBU BAY，MILITARY TRAINING IN AREA BOUNDED BY THE LINES JOINING 21-22.53N 109-27.52E、21-18.32N 109-39.88E、21-13.87N 109-38.07E、21-11.15N 109-33.43E、21-13.02N 109-27.52E、21-18.07N 109-25.78E FROM 280700 UTC TO 301000 UTC MAR. ENTERING PROHIBITED．GUANGXI MSA CHINA.,https://www.msa.gov.cn/page/article.do?articleId=0b055b18dd051b27&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:02.935043,2026-03-28,2026-03-30
2026-03-27,渤海军事演习—辽航警131/26,辽宁海事局,03/28 0000 至 03/29 2400,6,"40.05,120.6333; 39.9833,120.5333; 39.9833,120.7; 40.363,120.5888; 40.3508,120.5628; 40.3678,120.6192",40-03.00N 120-38.00E; 39-59.00N 120-32.00E; 39-59.00N 120-42E; 40-21.78N 120-35.33E; 40-21.05N 120-33.77E; 40-22.07N 120-37.15E,辽航警131/26，渤海，自3月28日0000时至29日2400时在40-03.00N 120-38.00E、39-59.00N 120-32.00E、39-59.00N 120-42E.00诸点连线范围内和在 40-21.78N 120-35.33E、40-21.05N 120-33.77E、40-22.07N 120-37.15E诸点连线范围内进行军事演习。禁止驶入。,https://www.msa.gov.cn/page/article.do?articleId=081eaee2-4358-40b8-b000-c1d6ac289bd0&channelId=C8896863-B101-4C43-8705-536A03EB46FF,2026-04-03T04:38:41.560061,2026-03-28,2026-03-29
2026-03-27,军事训练—桂航警58/26,广西海事局,03/28 1500 至 03/30 1800,6,"21.3755,109.4587; 21.3053,109.6647; 21.2312,109.6345; 21.1858,109.5572; 21.217,109.4587; 21.3012,109.4297",21-22.53N 109-27.52E; 21-18.32N 109-39.88E; 21-13.87N 109-38.07E; 21-11.15N 109-33.43E; 21-13.02N 109-27.52E; 21-18.07N 109-25.78E,桂航警58/26 发布时间：2026-03-27 16:42 [字体： 大 中 小 ] 分享到： 桂航警58/26，北部湾，3月28日1500时至30日1800时在21-22.53N 109-27.52E、21-18.32N 109-39.88E、21-13.87N 109-38.07E、21-11.15N 109-33.43E、21-13.02N 109-27.52E、21-18.07N 109-25.78E连线海域范围内进行军事训练，禁止船舶驶入。,https://www.msa.gov.cn/page/article.do?articleId=b1eb8360-d4a8-4c4b-b719-0592a89213f2&channelId=86DE2FFF-FF2C-47F9-8359-FD1F20D6508F,2026-04-03T04:39:00.746369,2026-03-28,2026-03-30
2026-03-27,军事任务—辽航警132/26,辽宁海事局,03/29 1600 至 04/05 1600,4,"38.8617,121.6367; 38.57,121.6367; 38.565,121.1317; 38.8033,121.235",38-51.7N121-38.2E; 38-34.2N121-38.2E; 38-33.9N121-07.9E; 38-48.2N121-14.1E,辽航警132/26，渤海海峡黄海北部，自3月29日1600时至4月5日1600时在38-51.7N121-38.2E、38-34.2N121-38.2E、38-33.9N121-07.9E、38-48.2N121-14.1E诸点连线范围内执行军事任务。禁止驶入。,https://www.msa.gov.cn/page/article.do?articleId=0784a98e-affa-43e6-913a-8c5f4ca1637d&channelId=C8896863-B101-4C43-8705-536A03EB46FF,2026-04-03T04:38:37.169503,2026-03-29,2026-04-05
2026-03-27,MILITARY MISSION—LN121/26,辽宁海事局,,3,"38.8617,121.6367; 38.57,121.6367; 38.565,121.1317",38-51.7N121-38.2E; 38-34.2N121-38.2E; 38-33.9N121-07.9E,"English x 中国海事公众号 海事通App 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 网上咨询 政策法规解读 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 辽宁海事局 MILITARY MISSION—LN121/26 来源：大连海事局 文号：LN121/26 发布时间：2026-03-27 17:50 [字体： 大 中 小 ] 分享到： LN121/26 BOHAI STRAIT AND NORTH YELLOW SEA MILITARY MISSION IN AREA BOUNDED BY THE LINES JOINING 38-51.7N121-38.2E,38-34.2N121-38.2E,38-33.9N121-07.9E,38-48.2N121-",https://www.msa.gov.cn/page/article.do?articleId=c54fb68d9a5047b9&channelId=C8896863-B101-4C43-8705-536A03EB46FF,2026-04-03T04:38:34.943591,,
2026-03-27,BOHAI SEA  MILITARY EXERCISES—LN120/26,辽宁海事局,,3,"40.05,120.6333; 39.9833,120.5333; 39.9833,120.7",40-03.00N 120-38.00E; 39-59.00N 120-32.00E; 39-59.00N 120-42.00E,"English x 中国海事公众号 海事通App 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 网上咨询 政策法规解读 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 辽宁海事局 BOHAI SEA  MILITARY EXERCISES—LN120/26 来源：葫芦岛海事局 文号：LN120/26 发布时间：2026-03-27 10:53 [字体： 大 中 小 ] 分享到： LN120/26 BOHAI SEA MILITARY EXERCISES IN AREA BOUNDED BY THE LINES JOINING 40-03.00N 120-38.00E,39-59.00N 120-32.00E,39-59.00N 120-42.00E  AND  AREA ",https://www.msa.gov.cn/page/article.do?articleId=5684c3882c2e6ff0&channelId=C8896863-B101-4C43-8705-536A03EB46FF,2026-04-03T04:38:39.366318,,
